Brand Name,Identifier,Munsell Specification,Total Hue,0.0G 1.85/2.6,Hue Letter(s),ASTM Hue,Value,Chroma,Pigments
Williamsburg Handmade Oil Paints,Phthalo Blue,9.6PB 0.6/12,9.6PB,9.6,PB,79.60,0.6,12,[PB15:3]
Williamsburg Handmade Oil Paints,Provence Violet Bluish,9.8PB 2.74/12.98,9.8PB,9.8,PB,79.80,2.74,12.98,[PV23] [PW4]
Grumbacher Pre-Tested Artists' Oil Colors,Thalo Blue,10.0PB 0.83/5.4,10.0PB,10.0,PB,80.00,0.83,5.4,[PB15:4]
Gamblin Artist's Oil Colors,Dioxazine Purple,10.0PB 1/6,10.0PB,10.0,PB,80.00,1,6,[PV23]
Schmincke Mussini Oil Colors,Asphaltum Black Translucent,0.1P 0.99/0.1,0.1P,0.1,P,80.10,0.99,0.1,[PR101] [PV19] [PBk7]
Williamsburg Handmade Safflower Oil Colors,Ultramarine Violet,0.3P 0.75/9.05,0.3P,0.3,P,80.30,0.75,9.05,[PV15]
Williamsburg Handmade Oil Paints,Ultramarine Violet,0.7P 0.66/8.26,0.7P,0.7,P,80.70,0.66,8.26,[PV15]
Schmincke Mussini Oil Colors,Translucent Violet,1.1P 1.84/7.3,1.1P,1.1,P,81.10,1.84,7.3,[PV23]
Gamblin Artist's Oil Colors,Dioxazine Purple,2.5P 2/10,2.5P,2.5,P,82.50,2,10,[PV23]
Gamblin Artist's Oil Colors,Radiant Violet,2.5P 7/8,2.5P,2.5,P,82.50,7,8,[PV23] [PW6]
Grumbacher Pre-Tested Artists' Oil Colors,Indanthrene Blue,3.7P 0.62/1.2,3.7P,3.7,P,83.70,0.62,1.2,[PB60]
Gamblin Artist's Oil Colors,Ultramarine Violet,5.0P 2/8,5.0P,5.0,P,85.00,2,8,[PV15]
Williamsburg Handmade Oil Paints,Cobalt Violet Deep,5.4P 1.42/14.18,5.4P,5.4,P,85.40,1.42,14.18,[PV14]
Rembrandt Artists' Oil Colors,Permanent Blue Violet,6.5P 1.24/6.7,6.5P,6.5,P,86.50,1.24,6.7,[PV16]
Winsor & Newton Artists' Oil Colors,Cobalt Blue Deep,6.7P 1.17/2.6,6.7P,6.7,P,86.70,1.17,2.6,[PB74]
Williamsburg Handmade Safflower Oil Colors,Cobalt Violet Light,6.7P 3.25/20.3,6.7P,6.7,P,86.70,3.25,20.3,[PV49]
Williamsburg Handmade Oil Paints,Cobalt Violet Light,7.0P 3.43/19.23,7.0P,7.0,P,87.00,3.43,19.23,[PV49]
Gamblin Artist's Oil Colors,Cobalt Violet,7.5P 3/10,7.5P,7.5,P,87.50,3,10,[PV14]
Williamsburg Handmade Oil Paints,Indanthrone Blue,7.8P 0.46/3.7,7.8P,7.8,P,87.80,0.46,3.7,[PB60]
Williamsburg Handmade Oil Paints,Egyptian Violet,8.2P 0.57/0.65,8.2P,8.2,P,88.20,0.57,0.65,[PV23]
Williamsburg Handmade Oil Paints,Manganese Violet,8.5P 1.14/9.16,8.5P,8.5,P,88.50,1.14,9.16,[PV16]
Gamblin Artist's Oil Colors,Manganese Violet,10.0P 2/6,10.0P,10.0,P,90.00,2,6,[PV16]
Gamblin Artist's Oil Colors,Manganese Violet,10.0P 2/6,10.0P,10.0,P,90.00,2,6,[PV16]
Williamsburg Handmade Oil Paints,Prussian Blue,1.6RP 0.1/1.99,1.6RP,1.6,RP,91.60,0.1,1.99,[PB27]
Gamblin Artist's Oil Colors,Quinacridone Violet,2.5RP 2/8,2.5RP,2.5,RP,92.50,2,8,[PV19]
Williamsburg Handmade Oil Paints,Dianthus Pink,3.0RP 7.7/8.07,3.0RP,3.0,RP,93.00,7.7,8.07,[PV19] [PW4]
Schmincke Norma Professional Oil Colors,Neutral Black,3.3RP 0.49/0.3,3.3RP,3.3,RP,93.30,0.49,0.3,[PR179] [PG7]
Williamsburg Handmade Oil Paints,Provence Violet Reddish,3.5RP 3.22/10.57,3.5RP,3.5,RP,93.50,3.22,10.57,[PV19] [PW4]
Winsor & Newton Artists' Oil Colors,Ultramarine Violet,3.6RP 1.78/3.4,3.6RP,3.6,RP,93.60,1.78,3.4,[PV15]
Schmincke Norma Professional Oil Colors,Magenta,4.1RP 3.43/14.5,4.1RP,4.1,RP,94.10,3.43,14.5,[PR122] [PW4]
Gamblin Artist's Oil Colors,Quinacridone Magenta,5.0RP 3/10,5.0RP,5.0,RP,95.00,3,10,[PR122]
Gamblin Artist's Oil Colors,Radiant Magenta,5.0RP 7/10,5.0RP,5.0,RP,95.00,7,10,[PV19] [PW6]
Williamsburg Handmade Oil Paints,Ultramarine Pink,6.0RP 1.76/6.9,6.0RP,6.0,RP,96.00,1.76,6.9,[PV15]
Grumbacher Pre-Tested Artists' Oil Colors,Cobalt Rose,6.4RP 2.84/4.7,6.4RP,6.4,RP,96.40,2.84,4.7,[PV49]
Winsor & Newton Artists' Oil Colors,Winsor Violet Dioxazine,6.5RP 1.66/4.9,6.5RP,6.5,RP,96.50,1.66,4.9,[PV23]
Williamsburg Handmade Safflower Oil Colors,Ultramarine Pink,6.9RP 1.88/7.4,6.9RP,6.9,RP,96.90,1.88,7.4,[PV15]
Gamblin Artist's Oil Colors,Quinacridone Red,7.5RP 3.5/12,7.5RP,7.5,RP,97.50,3.5,12,[PV19]
Gamblin Artist's Oil Colors,Alizarin Crimson,10.0RP 2/6,10.0RP,10.0,RP,100.00,2,6,[PR83]
Gamblin Artist's Oil Colors,Alizarin Permanent,10.0RP 2/6,10.0RP,10.0,RP,100.00,2,6,[PR177] [PG36]
